@relation InstanceResultListener

@attribute Key_Dataset {seismic-bumps}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

seismic-bumps,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,223,36,0,86.100386,13.899614,0,0.070203,0.154616,0.357091,125.572692,144.193386,90.502467,904.989437,-814.48697,0.34943,3.494168,-3.144737,-80.392645,-0.310396,-88.82923,0.176471,3,0.090909,22,0.909091,220,0.823529,14,0.12,0.176471,0.142857,0.071752,0.74842,0.150748,0.861004,0.775442,0.224558,0.138996,0.886337,0.861004,0.873074,0.071752,0.74842,0.918929,0.533613,0.861004,0.002,0.002,0,0,0,0,5791,423226,49280,90.733591,57.335907,?
seismic-bumps,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,231,28,0,89.189189,10.810811,0,0.307883,0.119076,0.310153,96.708326,125.239739,90.502467,436.217731,-345.715264,0.34943,1.684238,-1.334808,-36.828188,-0.142194,-40.693021,0.470588,8,0.078512,19,0.921488,223,0.529412,9,0.296296,0.470588,0.363636,0.317743,0.85756,0.276192,0.891892,0.499816,0.500184,0.108108,0.917564,0.891892,0.903037,0.317743,0.85756,0.94111,0.652282,0.891892,0.002,0.001,0,0,0,0,5791,423226,49280,93.050193,55.598456,?
seismic-bumps,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,220,39,0,84.942085,15.057915,0,0.220181,0.164326,0.373544,133.458212,150.837094,90.502467,408.337438,-317.834971,0.34943,1.576592,-1.227162,-90.649909,-0.35,-100.162915,0.470588,8,0.123967,30,0.876033,212,0.529412,9,0.210526,0.470588,0.290909,0.242605,0.747448,0.155702,0.849421,0.5028,0.4972,0.150579,0.91013,0.849421,0.874753,0.242605,0.747448,0.922769,0.603338,0.849421,0.002,0.001,0,0,0,0,5791,423226,49280,88.803089,57.142857,?
seismic-bumps,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,220,39,0,84.942085,15.057915,0,0.192114,0.144837,0.339513,117.630034,137.095632,90.502467,471.164117,-380.66165,0.34943,1.819166,-1.469736,-65.610317,-0.253322,-72.495612,0.411765,7,0.119835,29,0.880165,213,0.588235,10,0.194444,0.411765,0.264151,0.208981,0.794482,0.235733,0.849421,0.557491,0.442509,0.150579,0.905226,0.849421,0.873335,0.208981,0.794369,0.919061,0.59014,0.849421,0.002,0.007,0.015625,0,15.625,0,5791,423226,49280,93.050193,58.494208,?
seismic-bumps,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,231,27,0,89.534884,10.465116,0,0.214302,0.119673,0.313614,97.038592,126.410104,90.403637,682.683915,-592.280278,0.350402,2.646062,-2.29566,-40.476863,-0.156887,-44.773489,0.294118,5,0.062241,15,0.937759,226,0.705882,12,0.25,0.294118,0.27027,0.215123,0.723944,0.218255,0.895349,0.663472,0.336528,0.104651,0.903483,0.895349,0.899264,0.215123,0.723944,0.91432,0.606951,0.895349,0.002,0.002,0,0.015625,0,15.625,5791,423407,49099,92.248062,55.232558,?
seismic-bumps,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,227,31,0,87.984496,12.015504,0,0.279849,0.128719,0.323499,104.374038,130.394645,90.403637,245.600068,-155.196431,0.350402,0.951938,-0.601537,-53.871355,-0.208804,-59.589809,0.470588,8,0.091286,22,0.908714,219,0.529412,9,0.266667,0.470588,0.340426,0.293555,0.802538,0.222509,0.879845,0.500543,0.499457,0.120155,0.914807,0.879845,0.894797,0.293555,0.802538,0.932853,0.637164,0.879845,0.002,0.001,0,0,0,0,5791,423407,49099,92.248062,55.813953,?
seismic-bumps,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,223,35,0,86.434109,13.565891,0,0.247625,0.144744,0.344759,117.368039,138.963954,90.403637,573.542714,-483.139077,0.350402,2.223034,-1.872632,-72.615786,-0.281457,-80.323965,0.470588,8,0.107884,26,0.892116,215,0.529412,9,0.235294,0.470588,0.313725,0.266025,0.627288,0.151312,0.864341,0.501637,0.498363,0.135659,0.912081,0.864341,0.884471,0.266025,0.627288,0.892881,0.619228,0.864341,0.001,0.002,0.015625,0,15.625,0,5791,423407,49099,90.697674,56.589147,?
seismic-bumps,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,228,30,0,88.372093,11.627907,0,0.342843,0.136924,0.332867,111.026736,134.170723,90.403637,483.152487,-392.74885,0.350402,1.872684,-1.522282,-63.133651,-0.244704,-69.8353,0.588235,10,0.095436,23,0.904564,218,0.411765,7,0.30303,0.588235,0.4,0.366062,0.737857,0.233093,0.883721,0.390921,0.609079,0.116279,0.925014,0.883721,0.900329,0.366062,0.737857,0.922709,0.667811,0.883721,0.002,0.001,0,0,0,0,5791,423407,49099,91.860465,57.170543,?
seismic-bumps,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,218,40,0,84.496124,15.503876,0,0.089144,0.157896,0.366577,128.032546,147.75826,90.403637,496.45889,-406.055253,0.350402,1.924259,-1.573858,-79.151041,-0.306787,-87.552939,0.235294,4,0.112033,27,0.887967,214,0.764706,13,0.129032,0.235294,0.166667,0.094051,0.740298,0.156057,0.844961,0.7217,0.2783,0.155039,0.889115,0.844961,0.865252,0.094051,0.740298,0.921881,0.540598,0.844961,0.001,0.002,0,0.015625,0,15.625,5791,423407,49099,90.310078,56.782946,?
